scientificName,Article,Article_secondary_same_data,Evidence_category,Evidence_effect,Evidence_method,Study_rodent_final,Exclude_row,Sample_size_greater_than_1,Predation_type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Island_name,Archipelago,Region,Country,Study_notes,Study_ID,Reported_study_rodent,Study_rodent_notes,key
Laterallus spilonota,BirdLife International. 2020. Laterallus spilonota. The IUCN Red List of Threatened Species 2020: e.T22692366A181476400. https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22692366A181476400.en. Accessed on 04 February 2024.,NA,Predation,Predation,Predation,Rattus norvegicus,,,"Eggs, chicks",NA,1,,0,NA,NA,NA,NA,Galápagos Islands,-0.95379999999999998,-90.965599999999995,isabela,Galapagos Islands,Pacific Ocean - North East,Ecuador,"""This species is probably vulnerable to introduced predators such as rats (predation on nests and fledglings potentially the biggest threat, D. Wiedenfeld in litt. 2012)""",202,Rattus,Rodent species determined from literature review (Table SX),Laterallus spilonota_Rattus norvegicus
Loxops caeruleirostris,"Hammond, R.L., Crampton, L.H. and Foster, J.T., 2015. Breeding biology of two endangered forest birds on the island of Kauai, Hawaii. The Condor: Ornithological Applications, 117(1), pp.31-40.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,8,0,0,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,Table 1,209,Rattus,Rodent species determined from literature review (Table SX),Loxops caeruleirostris_Rattus rattus
Loxops caeruleirostris,"Hammond, R.L., Crampton, L.H. and Foster, J.T., 2015. Breeding biology of two endangered forest birds on the island of Kauai, Hawaii. The Condor: Ornithological Applications, 117(1), pp.31-40.",NA,Predation,Predation,Predation,Rattus norvegicus,,,NA,8,0,0,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,Table 1,209,Rattus,Rodent species determined from literature review (Table SX),Loxops caeruleirostris_Rattus norvegicus
Loxops caeruleirostris,"Hammond, R.L., Crampton, L.H. and Foster, J.T., 2015. Breeding biology of two endangered forest birds on the island of Kauai, Hawaii. The Condor: Ornithological Applications, 117(1), pp.31-40.",NA,Predation,Predation,Predation,Rattus exulans,,,NA,8,0,0,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,Table 1,209,Rattus,Rodent species determined from literature review (Table SX),Loxops caeruleirostris_Rattus exulans
Loxops caeruleirostris,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",NA,Predation,Predation,Predation,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,"""Predation on ‘Akikiki and ‘Akeke’e nests by rats has been documented by the KFBRP""",210,Rattus,Rodent species determined from literature review (Table SX),Loxops caeruleirostris_Rattus rattus
Loxops caeruleirostris,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",NA,Predation,Predation,Predation,Rattus norvegicus,,,NA,NA,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,"""Predation on ‘Akikiki and ‘Akeke’e nests by rats has been documented by the KFBRP""",210,Rattus,Rodent species determined from literature review (Table SX),Loxops caeruleirostris_Rattus norvegicus
Loxops caeruleirostris,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",NA,Predation,Predation,Predation,Rattus exulans,,,NA,NA,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,"""Predation on ‘Akikiki and ‘Akeke’e nests by rats has been documented by the KFBRP""",210,Rattus,Rodent species determined from literature review (Table SX),Loxops caeruleirostris_Rattus exulans
Megapodius laperouse,"Radley, P.M., Davis, R.A. and Doherty, T.S., 2021. Impacts of invasive rats and tourism on a threatened island bird: the Palau Micronesian Scrubfowl. Bird Conservation International, 31(2), pp.206-218.",NA,Population,Abundance,Spatial,Rattus rattus,,1,NA,NA,0,,1,1,10,1,0,Palau,7.5149999999999997,134.58250000000001,babeldaob,Babeldaob Islands,Pacific Ocean - North West,Palau,"""rat occupancy probability... had a non-significant negative effect on scrubfowl numbers across islands"" Table 1 and 3",215,Rattus,Rodent species determined from literature review (Table SX),Megapodius laperouse_Rattus rattus
Megapodius laperouse,"Radley, P.M., Davis, R.A. and Doherty, T.S., 2021. Impacts of invasive rats and tourism on a threatened island bird: the Palau Micronesian Scrubfowl. Bird Conservation International, 31(2), pp.206-218.",NA,Population,Abundance,Spatial,Rattus norvegicus,,1,NA,NA,0,,1,1,10,1,0,Palau,7.5149999999999997,134.58250000000001,babeldaob,Babeldaob Islands,Pacific Ocean - North West,Palau,"""rat occupancy probability... had a non-significant negative effect on scrubfowl numbers across islands"" Table 1 and 3",215,Rattus,Rodent species determined from literature review (Table SX),Megapodius laperouse_Rattus norvegicus
Megapodius laperouse,"Radley, P.M., Davis, R.A. and Doherty, T.S., 2021. Impacts of invasive rats and tourism on a threatened island bird: the Palau Micronesian Scrubfowl. Bird Conservation International, 31(2), pp.206-218.",NA,Population,Abundance,Spatial,Rattus exulans,,1,NA,NA,0,,1,1,10,1,0,Palau,7.5149999999999997,134.58250000000001,babeldaob,Babeldaob Islands,Pacific Ocean - North West,Palau,"""rat occupancy probability... had a non-significant negative effect on scrubfowl numbers across islands"" Table 1 and 3",215,Rattus,Rodent species determined from literature review (Table SX),Megapodius laperouse_Rattus exulans
Mundia elpenor,"Olson, Storrs L. ""Evolution of the rails of the South Atlantic islands (Aves: Rallidae)."" (1973).",NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Ascension Island,-7.9466999999999999,-14.3559,ascension,Ascension Island,Atlantic Ocean - South,Saint Helena,"""At some unknown time, rats and mice made their appearance. They were present by 1754 (La Caille, 1763) and Osbeck (1771, 11:84) felt that they came to the island with the wreck of William Dampier's ship Roebuck in 1701, although they may well have reached shore previously with vessels stopping for sea turtles or other supplies""... Just how long after 1656 the Ascension rail survived is not known. If present, its numbers must have been considerably reduced by the 1700s as the species was never reported again.""",230,Rattus,Rodent species determined from literature review (Table SX),Mundia elpenor_Rattus rattus
Myadestes palmeri,"Tweed, E.J., Foster, J.T., Woodworth, B.L., Monahan, W.B., Kellerman, J.L. and Lieberman, A., 2006. Breeding biology and success of a reintroduced population of the critically endangered Puaiohi (Myadestes palmeri). The Auk, 123(3), pp.753-763.",NA,Predation,Predation,Predation,Rattus rattus,,,"Eggs, adults (reintroduced)",24,1,33,NA,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,Table 2,232,Rattus,Rodent species determined from literature review (Table SX),Myadestes palmeri_Rattus rattus
Myadestes palmeri,"Tweed, E.J., Foster, J.T., Woodworth, B.L., Monahan, W.B., Kellerman, J.L. and Lieberman, A., 2006. Breeding biology and success of a reintroduced population of the critically endangered Puaiohi (Myadestes palmeri). The Auk, 123(3), pp.753-763.",NA,Predation,Predation,Predation,Rattus norvegicus,,,"Eggs, adults (reintroduced)",24,1,33,NA,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,Table 2,232,Rattus,Rodent species determined from literature review (Table SX),Myadestes palmeri_Rattus norvegicus
Myadestes palmeri,"Tweed, E.J., Foster, J.T., Woodworth, B.L., Monahan, W.B., Kellerman, J.L. and Lieberman, A., 2006. Breeding biology and success of a reintroduced population of the critically endangered Puaiohi (Myadestes palmeri). The Auk, 123(3), pp.753-763.",NA,Predation,Predation,Predation,Rattus exulans,,,"Eggs, adults (reintroduced)",24,1,33,NA,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,Table 2,232,Rattus,Rodent species determined from literature review (Table SX),Myadestes palmeri_Rattus exulans
Myadestes palmeri,"Tweed, E.J., Foster, J.T., Woodworth, B.L., Monahan, W.B., Kellerman, J.L. and Lieberman, A., 2006. Breeding biology and success of a reintroduced population of the critically endangered Puaiohi (Myadestes palmeri). The Auk, 123(3), pp.753-763.",NA,Lethal program,Reproductive success,Temporal,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,Table 2,233,Rattus,Rodent species determined from literature review (Table SX),Myadestes palmeri_Rattus rattus
Myadestes palmeri,"Tweed, E.J., Foster, J.T., Woodworth, B.L., Monahan, W.B., Kellerman, J.L. and Lieberman, A., 2006. Breeding biology and success of a reintroduced population of the critically endangered Puaiohi (Myadestes palmeri). The Auk, 123(3), pp.753-763.",NA,Lethal program,Reproductive success,Temporal,Rattus norvegicus,,,NA,NA,0,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,Table 2,233,Rattus,Rodent species determined from literature review (Table SX),Myadestes palmeri_Rattus norvegicus
Myadestes palmeri,"Tweed, E.J., Foster, J.T., Woodworth, B.L., Monahan, W.B., Kellerman, J.L. and Lieberman, A., 2006. Breeding biology and success of a reintroduced population of the critically endangered Puaiohi (Myadestes palmeri). The Auk, 123(3), pp.753-763.",NA,Lethal program,Reproductive success,Temporal,Rattus exulans,,,NA,NA,0,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,Table 2,233,Rattus,Rodent species determined from literature review (Table SX),Myadestes palmeri_Rattus exulans
Myadestes palmeri,"VanderWerf, E.A., Crampton, L.H., Diegmann, J.S., Atkinson, C.T. and Leonard, D.L., 2014. Survival estimates of wild and captive-bred released Puaiohi, an endangered Hawaiian thrush. The Condor: Ornithological Applications, 116(4), pp.609-618.",NA,Predation,Predation,Predation,Rattus rattus,,,Adults,NA,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,"""The difference between adult male and adult female survival is consistent with rat (Rattus spp.) predation of females on the nest as a major source of mortality.""",234,Rattus,Rodent species determined from literature review (Table SX),Myadestes palmeri_Rattus rattus
Myadestes palmeri,"VanderWerf, E.A., Crampton, L.H., Diegmann, J.S., Atkinson, C.T. and Leonard, D.L., 2014. Survival estimates of wild and captive-bred released Puaiohi, an endangered Hawaiian thrush. The Condor: Ornithological Applications, 116(4), pp.609-618.",NA,Predation,Predation,Predation,Rattus norvegicus,,,Adults,NA,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,"""The difference between adult male and adult female survival is consistent with rat (Rattus spp.) predation of females on the nest as a major source of mortality.""",234,Rattus,Rodent species determined from literature review (Table SX),Myadestes palmeri_Rattus norvegicus
Myadestes palmeri,"VanderWerf, E.A., Crampton, L.H., Diegmann, J.S., Atkinson, C.T. and Leonard, D.L., 2014. Survival estimates of wild and captive-bred released Puaiohi, an endangered Hawaiian thrush. The Condor: Ornithological Applications, 116(4), pp.609-618.",NA,Predation,Predation,Predation,Rattus exulans,,,Adults,NA,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,"""The difference between adult male and adult female survival is consistent with rat (Rattus spp.) predation of females on the nest as a major source of mortality.""",234,Rattus,Rodent species determined from literature review (Table SX),Myadestes palmeri_Rattus exulans
Oreomystis bairdi,"Hammond, R.L., Crampton, L.H. and Foster, J.T., 2015. Breeding biology of two endangered forest birds on the island of Kauai, Hawaii. The Condor: Ornithological Applications, 117(1), pp.31-40.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,8,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,Table 1,249,Rodent,Rodent species determined from literature review (Table SX),Oreomystis bairdi_Rattus rattus
Oreomystis bairdi,"Hammond, R.L., Crampton, L.H. and Foster, J.T., 2015. Breeding biology of two endangered forest birds on the island of Kauai, Hawaii. The Condor: Ornithological Applications, 117(1), pp.31-40.",NA,Predation,Predation,Predation,Rattus norvegicus,,,NA,8,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,Table 1,249,Rodent,Rodent species determined from literature review (Table SX),Oreomystis bairdi_Rattus norvegicus
Oreomystis bairdi,"Hammond, R.L., Crampton, L.H. and Foster, J.T., 2015. Breeding biology of two endangered forest birds on the island of Kauai, Hawaii. The Condor: Ornithological Applications, 117(1), pp.31-40.",NA,Predation,Predation,Predation,Rattus exulans,,,NA,8,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,Table 1,249,Rodent,Rodent species determined from literature review (Table SX),Oreomystis bairdi_Rattus exulans
Oreomystis bairdi,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",NA,Predation,Predation,Predation,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,"""Predation on ‘Akikiki and ‘Akeke’e nests by rats has been documented by the KFBRP""",250,Rattus,Rodent species determined from literature review (Table SX),Oreomystis bairdi_Rattus rattus
Oreomystis bairdi,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",NA,Predation,Predation,Predation,Rattus norvegicus,,,NA,NA,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,"""Predation on ‘Akikiki and ‘Akeke’e nests by rats has been documented by the KFBRP""",250,Rattus,Rodent species determined from literature review (Table SX),Oreomystis bairdi_Rattus norvegicus
Oreomystis bairdi,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",NA,Predation,Predation,Predation,Rattus exulans,,,NA,NA,1,,0,NA,NA,NA,NA,Kauai,22.096399999999999,-159.52610000000001,kauai,Hawaiian Islands,Pacific Ocean - North East,United States,"""Predation on ‘Akikiki and ‘Akeke’e nests by rats has been documented by the KFBRP""",250,Rattus,Rodent species determined from literature review (Table SX),Oreomystis bairdi_Rattus exulans
Otus capnodes,"Safford, R.J., 1993. Rediscovery, taxonomy and conservation of the Anjouan Scops Owl Otus capnodes (Gurney 1889). Bird Conservation International, 3(1), pp.57-74.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Anjouan,-12.213800000000001,44.437100000000001,anjouan,Comoro Islands,Indian Ocean - West,Comoros,"""Rats Rattus sp. are abundant in the forest (pers. obs.) and may affect breeding success by nest predation, although there is no concrete evidence.""",252,Rattus,Rodent species assigned according to IUCN attribution,Otus capnodes_Rattus rattus
Palmeria dolei,"Simon, J.C., Pratt, T.K., Berlin, K.E. and Kowalsky, J.R., 2001. Reproductive ecology and demography of the ‘Ākohekohe. The Condor, 103(4), pp.736-745.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Maui,20.798400000000001,-156.33189999999999,maui,Hawaiian Islands,Pacific Ocean - North East,United States,"""Rats (Rattus spp.) were abundant at the study site, and we confirmed their depredating some ‘A ̄ kohekohe nests, so we did not expect to find such a high rate of nest success.""",259,Rattus,Rodent species determined from literature review (Table SX),Palmeria dolei_Rattus rattus
Palmeria dolei,"Simon, J.C., Pratt, T.K., Berlin, K.E. and Kowalsky, J.R., 2001. Reproductive ecology and demography of the ‘Ākohekohe. The Condor, 103(4), pp.736-745.",NA,Predation,Predation,Predation,Rattus norvegicus,,,NA,NA,1,,0,NA,NA,NA,NA,Maui,20.798400000000001,-156.33189999999999,maui,Hawaiian Islands,Pacific Ocean - North East,United States,"""Rats (Rattus spp.) were abundant at the study site, and we confirmed their depredating some ‘A ̄ kohekohe nests, so we did not expect to find such a high rate of nest success.""",259,Rattus,Rodent species determined from literature review (Table SX),Palmeria dolei_Rattus norvegicus
Palmeria dolei,"Simon, J.C., Pratt, T.K., Berlin, K.E. and Kowalsky, J.R., 2001. Reproductive ecology and demography of the ‘Ākohekohe. The Condor, 103(4), pp.736-745.",NA,Predation,Predation,Predation,Rattus exulans,,,NA,NA,1,,0,NA,NA,NA,NA,Maui,20.798400000000001,-156.33189999999999,maui,Hawaiian Islands,Pacific Ocean - North East,United States,"""Rats (Rattus spp.) were abundant at the study site, and we confirmed their depredating some ‘A ̄ kohekohe nests, so we did not expect to find such a high rate of nest success.""",259,Rattus,Rodent species determined from literature review (Table SX),Palmeria dolei_Rattus exulans
Pampusana canifrons,BirdLife International. 2018. Alopecoenas canifrons (errata version published in 2022). The IUCN Red List of Threatened Species 2018: e.T22691071A216247017. Accessed on 17 February 2024.,NA,Predation,Predation,Predation,Rattus norvegicus,,,NA,NA,1,,0,NA,NA,NA,NA,Palau,7.5149999999999997,134.58250000000001,babeldaob,Babeldaob Islands,Pacific Ocean - North West,Palau,"""The Palau Conservation Society reported observing a ground dove being killed by a rat in 2005 (A. Gupta in litt. 2011).""",260,Rattus,Rodent species determined from literature review (Table SX),Pampusana canifrons_Rattus norvegicus
Pampusana canifrons,BirdLife International. 2018. Alopecoenas canifrons (errata version published in 2022). The IUCN Red List of Threatened Species 2018: e.T22691071A216247017. Accessed on 17 February 2024.,NA,Predation,Predation,Predation,Rattus exulans,,,NA,NA,1,,0,NA,NA,NA,NA,Palau,7.5149999999999997,134.58250000000001,babeldaob,Babeldaob Islands,Pacific Ocean - North West,Palau,"""The Palau Conservation Society reported observing a ground dove being killed by a rat in 2005 (A. Gupta in litt. 2011).""",260,Rattus,Rodent species determined from literature review (Table SX),Pampusana canifrons_Rattus exulans
Petroica multicolor,"Nance, A.H., Mitchell, W.F., Dawlings, F., Cook, C.N. and Clarke, R.H., 2023. Rodent predation and specialised avian habitat requirements drive extinction risk for endemic island songbirds in the south-west Pacific. Emu-Austral Ornithology, 123(3), pp.217-231.",NA,Predation,Predation,Predation,Rattus rattus,,,"Eggs, chicks",42,1,39,0,NA,NA,NA,NA,Norfolk Island,-29.040800000000001,167.9547,norfolk,Norfolk Islands,Pacific Ocean - South West,Australia,"""We found evidence of invasive rats preying on eggs and chicks of all five focal nesting species at nest heights ranging from 1.3 to 8.3 m above the ground."" + Table S4",270,Rattus,Rodent species assigned according to IUCN attribution,Petroica multicolor_Rattus rattus
Petroica multicolor,"Nance, A.H., Mitchell, W.F., Dawlings, F., Cook, C.N. and Clarke, R.H., 2023. Rodent predation and specialised avian habitat requirements drive extinction risk for endemic island songbirds in the south-west Pacific. Emu-Austral Ornithology, 123(3), pp.217-231.",NA,Lethal program,Reproductive success,Spatial,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Norfolk Island,-29.040800000000001,167.9547,norfolk,Norfolk Islands,Pacific Ocean - South West,Australia,"""Bait station density was also positively correlated with DSR in all candidate models, indicating nest survival was higher in areas with more intensive baiting, although effect sizes were small (best model: z = 1.95, p = 0.05; Figure 2(b))"" - Daily nest survival rate (DSR) - ""That rodents present as a key threatening process is further supported by mea- sures of nest vulnerability to rodents (i.e. in areas of lower bait density and higher nest connectivity) which were key predictors of daily nest survival.""",271,Rattus,Rodent species assigned according to IUCN attribution,Petroica multicolor_Rattus rattus
Prosobonia parvirostris,BirdLife International. 2016. Prosobonia parvirostris. The IUCN Red List of Threatened Species 2016: e.T62289271A95194072. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T62289271A95194072.en. Accessed on 17 November 2023.,NA,Population,Abundance,Spatial,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Tuamotu Archipelago,-17.6797,-149.4068,tahiti nue,Society Islands,Pacific Ocean - South East,French Polynesia,"""This species was formerly widespread, but is now restricted to predator-free, usually uninhabited islands.""",310,Rattus,Rodent species assigned according to IUCN attribution,Prosobonia parvirostris_Rattus rattus
Pseudonestor xanthophrys,"Mounce, H.L., Leonard, D.L., Swinnerton, K.J., Becker, C.D., Berthold, L.K., Iknayan, K.J. and Groombridge, J.J., 2013. Determining productivity of Maui Parrotbills, an endangered Hawaiian honeycreeper. Journal of Field Ornithology, 84(1), pp.32-39.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Maui,20.798400000000001,-156.33189999999999,maui,Hawaiian Islands,Pacific Ocean - North East,United States,"""Although they have not been documented as predators of parrotbill nests, rats have been documented predating Akohekohe nests at similar heights.""",316,Rattus,Rodent species determined from literature review (Table SX),Pseudonestor xanthophrys_Rattus rattus
Pseudonestor xanthophrys,"Mounce, H.L., Leonard, D.L., Swinnerton, K.J., Becker, C.D., Berthold, L.K., Iknayan, K.J. and Groombridge, J.J., 2013. Determining productivity of Maui Parrotbills, an endangered Hawaiian honeycreeper. Journal of Field Ornithology, 84(1), pp.32-39.",NA,Predation,Predation,Predation,Rattus norvegicus,,,NA,NA,0,,0,NA,NA,NA,NA,Maui,20.798400000000001,-156.33189999999999,maui,Hawaiian Islands,Pacific Ocean - North East,United States,"""Although they have not been documented as predators of parrotbill nests, rats have been documented predating Akohekohe nests at similar heights.""",316,Rattus,Rodent species determined from literature review (Table SX),Pseudonestor xanthophrys_Rattus norvegicus
Pseudonestor xanthophrys,"Mounce, H.L., Leonard, D.L., Swinnerton, K.J., Becker, C.D., Berthold, L.K., Iknayan, K.J. and Groombridge, J.J., 2013. Determining productivity of Maui Parrotbills, an endangered Hawaiian honeycreeper. Journal of Field Ornithology, 84(1), pp.32-39.",NA,Predation,Predation,Predation,Rattus exulans,,,NA,NA,0,,0,NA,NA,NA,NA,Maui,20.798400000000001,-156.33189999999999,maui,Hawaiian Islands,Pacific Ocean - North East,United States,"""Although they have not been documented as predators of parrotbill nests, rats have been documented predating Akohekohe nests at similar heights.""",316,Rattus,Rodent species determined from literature review (Table SX),Pseudonestor xanthophrys_Rattus exulans
Pseudonestor xanthophrys,"Mounce, H.L., Leonard, D.L., Swinnerton, K.J., Becker, C.D., Berthold, L.K., Iknayan, K.J. and Groombridge, J.J., 2013. Determining productivity of Maui Parrotbills, an endangered Hawaiian honeycreeper. Journal of Field Ornithology, 84(1), pp.32-39.",NA,Lethal program,Reproductive success,Spatial,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Maui,20.798400000000001,-156.33189999999999,maui,Hawaiian Islands,Pacific Ocean - North East,United States,"""Although our data suggest some variation in annual reproductive success of parrotbills between our two study areas, we found no significant spatial and temporal differences, even though predator control was conducted at over 62% of the HR3 site during our study, but was not conducted at FSB. Populations of non-native mammalian predators, including rats (Rattus spp.) and mongooses (Herpestes javanicus), were controlled using bait stations loaded with rodenticide and snap traps""",317,Rattus,Rodent species determined from literature review (Table SX),Pseudonestor xanthophrys_Rattus rattus
Pseudonestor xanthophrys,"Mounce, H.L., Leonard, D.L., Swinnerton, K.J., Becker, C.D., Berthold, L.K., Iknayan, K.J. and Groombridge, J.J., 2013. Determining productivity of Maui Parrotbills, an endangered Hawaiian honeycreeper. Journal of Field Ornithology, 84(1), pp.32-39.",NA,Lethal program,Reproductive success,Spatial,Rattus norvegicus,,,NA,NA,0,,0,NA,NA,NA,NA,Maui,20.798400000000001,-156.33189999999999,maui,Hawaiian Islands,Pacific Ocean - North East,United States,"""Although our data suggest some variation in annual reproductive success of parrotbills between our two study areas, we found no significant spatial and temporal differences, even though predator control was conducted at over 62% of the HR3 site during our study, but was not conducted at FSB. Populations of non-native mammalian predators, including rats (Rattus spp.) and mongooses (Herpestes javanicus), were controlled using bait stations loaded with rodenticide and snap traps""",317,Rattus,Rodent species determined from literature review (Table SX),Pseudonestor xanthophrys_Rattus norvegicus
Pseudonestor xanthophrys,"Mounce, H.L., Leonard, D.L., Swinnerton, K.J., Becker, C.D., Berthold, L.K., Iknayan, K.J. and Groombridge, J.J., 2013. Determining productivity of Maui Parrotbills, an endangered Hawaiian honeycreeper. Journal of Field Ornithology, 84(1), pp.32-39.",NA,Lethal program,Reproductive success,Spatial,Rattus exulans,,,NA,NA,0,,0,NA,NA,NA,NA,Maui,20.798400000000001,-156.33189999999999,maui,Hawaiian Islands,Pacific Ocean - North East,United States,"""Although our data suggest some variation in annual reproductive success of parrotbills between our two study areas, we found no significant spatial and temporal differences, even though predator control was conducted at over 62% of the HR3 site during our study, but was not conducted at FSB. Populations of non-native mammalian predators, including rats (Rattus spp.) and mongooses (Herpestes javanicus), were controlled using bait stations loaded with rodenticide and snap traps""",317,Rattus,Rodent species determined from literature review (Table SX),Pseudonestor xanthophrys_Rattus exulans
Pterodroma caribbaea,BirdLife International. 2018. Pterodroma caribbaea. The IUCN Red List of Threatened Species 2018: e.T22698097A132625182. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22698097A132625182.en. Accessed on 30 December 2023.,NA,Predation,Predation,Predation,Rattus rattus,,,Eggs,NA,1,,0,NA,NA,NA,NA,John Crow Mountains,18.083500000000001,-76.401700000000005,jamaica,Greater Antilles (Jamaican Islands),Caribbean,Jamaica,"""predation by introduced rats (which took eggs)""",326,Rattus,Rodent species determined from literature review (Table SX),Pterodroma caribbaea_Rattus rattus
Pterodroma caribbaea,BirdLife International. 2018. Pterodroma caribbaea. The IUCN Red List of Threatened Species 2018: e.T22698097A132625182. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22698097A132625182.en. Accessed on 30 December 2023.,NA,Predation,Predation,Predation,Rattus norvegicus,,,Eggs,NA,1,,0,NA,NA,NA,NA,John Crow Mountains,18.083500000000001,-76.401700000000005,jamaica,Greater Antilles (Jamaican Islands),Caribbean,Jamaica,"""predation by introduced rats (which took eggs)""",326,Rattus,Rodent species determined from literature review (Table SX),Pterodroma caribbaea_Rattus norvegicus
Pterodroma magentae,BirdLife International. 2018. Pterodroma magentae. The IUCN Red List of Threatened Species 2018: e.T22698049A131879320. Accessed on 08 December 2023.,NA,Predation,Predation,Predation,Rattus rattus,,,Unknown,NA,1,,0,NA,NA,NA,NA,Chatham Island,-43.927100000000003,-176.45920000000001,chatham,Chatham Islands,Pacific Ocean - South East,New Zealand,"""Introduced species have previously represented the largest threat to this species, with pigs, cats and dogs predating adults and many other species, such as rats, hedgehogs, Weka and possums depredating nests and causing a loss of reproductive success.""",349,Rattus,Rodent species assigned according to IUCN attribution,Pterodroma magentae_Rattus rattus
